Pos,MP,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
PG,9.4,0.36700000000000005,0.217,0.423,0.8,0.1,1.1,1.2,1.6,0.4,0.0,0.8,0.7,3.8
SF,31.6,0.44299999999999995,0.336,0.529,0.82,1.0,4.2,5.1,1.8,1.7,0.5,1.1,2.7,14.2
PG,35.6,0.42700000000000005,0.371,0.45899999999999996,0.847,0.7,3.7,4.4,5.2,1.6,0.5,2.1,1.4,20.9
C,26.0,0.565,0.0,0.565,0.7609999999999999,3.1,6.1,9.1,0.7,0.4,1.3,1.4,2.6,12.8
C,33.7,0.703,0.0,0.7040000000000001,0.43,3.5,10.3,13.8,1.2,0.7,2.3,1.4,2.7,12.7
C,32.9,0.521,0.33299999999999996,0.522,0.355,4.9,9.9,14.8,0.8,1.5,1.4,1.9,3.0,16.2
SF,10.0,0.405,0.297,0.514,0.929,0.2,1.3,1.5,0.9,0.2,0.1,0.6,0.7,2.4
C,30.1,0.5670000000000001,0.0,0.5670000000000001,0.705,3.0,6.9,9.9,1.4,0.6,1.3,1.6,2.6,13.5
PF,32.7,0.47,0.319,0.512,0.757,2.4,6.6,9.0,3.3,1.8,1.7,2.4,2.9,17.1
SF,34.0,0.46299999999999997,0.344,0.495,0.78,1.5,5.0,6.5,1.7,1.4,0.7,2.0,2.6,17.2
SG,3.0,0.4,0.5,0.33299999999999996,0.8,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.3,1.5
C,14.9,0.528,0.28600000000000003,0.586,0.6940000000000001,1.3,2.3,3.6,0.4,0.6,0.5,0.3,1.1,3.9
SF,28.2,0.358,0.285,0.41,0.826,0.6,3.1,3.7,2.8,0.9,0.2,2.0,1.7,17.6
PF,4.8,0.4,0.0,0.4,1.0,0.3,0.3,0.7,0.0,0.0,0.2,0.0,0.3,0.8
C,31.7,0.5589999999999999,0.0,0.5589999999999999,0.569,3.4,7.5,11.0,1.5,0.7,2.2,1.9,2.7,9.1
SF,32.5,0.462,0.4,0.506,0.836,0.4,2.4,2.8,2.7,1.2,0.0,1.7,2.7,15.4
PG,18.2,0.43700000000000006,0.353,0.48,0.905,0.1,1.6,1.8,2.4,0.3,0.1,1.4,1.5,8.2
PF,5.9,0.455,0.0,0.556,0.5,0.7,1.0,1.7,0.4,0.1,0.1,0.7,1.0,1.6
C,29.3,0.521,0.5,0.521,0.59,2.3,5.8,8.1,1.8,1.8,1.5,2.4,2.9,11.1
SF,3.0,0.75,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,3.0
C,20.7,0.506,0.0,0.507,0.7120000000000001,2.1,4.0,6.2,1.2,0.5,0.5,1.3,2.1,8.8
SG,24.4,0.374,0.295,0.447,0.784,0.6,3.2,3.8,1.7,1.0,0.4,1.1,2.2,5.8
C,21.0,0.5760000000000001,0.47600000000000003,0.579,0.797,3.0,5.1,8.1,0.4,0.3,0.4,1.4,2.0,12.7
SG,33.0,0.43799999999999994,0.348,0.475,0.83,0.7,4.1,4.8,3.9,1.6,0.8,2.1,2.4,16.0
PG,28.2,0.41,0.35100000000000003,0.447,0.737,0.6,2.8,3.4,3.3,1.2,0.2,2.5,1.8,13.2
SG,33.4,0.44299999999999995,0.382,0.469,0.84,0.3,3.4,3.7,2.0,0.4,0.1,1.2,2.0,12.8
SF,28.6,0.42200000000000004,0.276,0.47100000000000003,0.684,1.0,4.1,5.2,1.5,0.9,0.3,1.2,2.4,6.4
PF,32.4,0.455,0.344,0.513,0.755,1.5,4.5,6.0,1.9,1.0,0.4,1.1,1.6,12.3
C,34.6,0.451,0.33299999999999996,0.473,0.718,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,26.9
PF,7.8,0.451,0.667,0.441,0.585,0.9,1.1,2.0,0.2,0.3,0.2,0.3,1.3,2.4
